Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
251861,hhisek,18568.21,144,Conditional Approval,Blue Compass RV - Seguin - TX573,Blue Compass,TX,Sequin,2026-08-24,2026-08-24,,2022,RV,Used,,40.54,4.45,gott,,26,10.49,1900,1900,false,,,11.99,Core,Core,1.01,0,,0,18400,702,Source One Financial Services,TX, gus ponce,1,1,TX573,Core
251912,pmeza,95502.81,240,Auto Approval,Liberty RV-MO107,,MO,Liberty,2026-08-24,2026-08-24,,2025,RV,New,715,44.22,6.98,jweller,,24,7.74,0,16195,false,,,9.24,Core,Core,1.27,0,,0,75213,795,Source One Financial Services,MO, shawn wiegers,1,1,MO107,Core
252131,eavila,107407.78,204,Auto Approval,Fun Town RV - Cleburne -TX108,Fun Town,TX,Cleburne,2026-08-24,2026-08-25,,2027,RV,New,,22.15,8.89,S1House,,955,9.49,0,10534.47,false,,,7.39,Core,Core,1.33,0,,0,80664,741,Source One Financial Services,TX, cody kirkman,1,1,TX108,Core
252115,thovey,18182.74,144,Booked,"Ron Hoover Companies of Corpus Christi, Inc -TX278",Ron Hoover,TX,Corpus Christi,2026-08-24,2026-09-02,2026-09-02,2021,Boat,Used,,23.55,2.43,gott,12821,12748,10.74,5000,5000,false,73,0,12.24,Core,Core,0.94,1090.96,6,0,19260,683,Source One Financial Services,TX, david carrillo,1,0,TX278,Core
252059,eavila,47468,180,Decline,Intercoastal Financial Group LLC - 17401746,IFG,FL,Vero Beach,2026-08-24,,,2026,RV,New,,92.51,6.5,S1House,,12,9.74,5000,5000,false,,,10.99,Core,Core,1.31,0,,0,36245,729,Source One Financial Services,OH, hal jolles,0,0,17401746,Core
251896,,69564.5,180,Auto Decline,FUN TOWN RV CONROE -TX400,Fun Town,TX,CONROE,2026-08-24,,,2027,RV,New,,49.06,16.06,gott,,0,14.99,0,0,false,,,15.99,Silver 2,Silver 2,1.1,0,,0,63096,634,Source One Financial Services,TX,,0,0,TX400,Silver
252096,ccampos,20396.45,120,Auto Approval,Roy's RV Adventures LLC - FL327,,FL,Tallahassee,2026-08-24,2026-09-01,,2026,RV,Used,670,28.55,2.77,wstoutimore,,11383,10.74,225,1726,false,,,10.99,Silver 1,Not Applicable,0.48,0,,0,42150,657,Connexus Credit Union,FL, aliya purtee,1,1,FL327,Not Applicable
251977,rsimmons,71841.71,240,Auto Approval,Campers Inn RV of Knoxville E - TN160,Campers Inn,TN,Knoxville,2026-08-24,2026-08-24,,2027,RV,New,804,37.16,6.4,jsmith,,22,7.99,10000,10000,false,,,9.49,Core,Core,1.11,0,,0,64937,785,Source One Financial Services,TN, radu puraci,1,1,TN160,Core
252081,rsimmons,75831.37,240,Booked,Ron Hoover Marine Inc - La Marque -TX279,Ron Hoover,TX,Houston,2026-08-24,2026-08-28,2026-08-28,2025,Boat,New,,27.89,4.04,gott,5625,5309,7.99,0,-767.48,false,150,166,7.39,Core,Core,1.3,758.31,1,0,58201,786,Source One Financial Services,TX, quentin lasker,1,0,TX279,Core
252092,,48917.37,180,Auto Decline,Transwest - CO109,,CO,Frederick,2026-08-24,,,2018,RV,Used,666,15.14,2.35,dzilberchtein,,0,13.49,0,0,true,,,15.49,Business First,Business First,1.12,0,,0,43670,,Source One Financial Services,CO,,0,0,CO109,Business First
